ID	Latitude	Longitude
CB001	38.98123	-106.99833
CB047	38.98003	-106.99963
CB061	38.98498	-107.00957
CB063	38.98808	-107.00797
CB068	38.96090	-106.99268
CB073	38.95057	-106.98807
CB074	38.94345	-106.98163
CB075	38.94842	-106.97733
CB077	38.95247	-106.97548
CB078	38.95255	-106.97297
CB081	38.95532	-106.97228
CB082	38.95553	-106.97587
CB083	38.95480	-106.97873
CB085	38.95718	-106.98833
CB086	38.95548	-106.98847
CB087	38.95168	-106.98923
CB088	38.95100	-106.98965
CB090	38.95073	-106.99233
CB092	38.95417	-106.99353
CB093	38.95543	-106.99313
CB100	38.97083	-106.99017
CB102	38.97617	-106.98950
CB103	38.97950	-106.99000
CB151	38.98917	-107.01230
CB154	38.99423	-107.01468
CB156	38.99665	-107.01495
CB158	38.99618	-107.01867
CB159	38.99750	-107.01883
CB160	38.99795	-107.02082
CB162	39.00037	-107.02310
CB163	39.00143	-107.02383
CB164	39.00210	-107.02300
CB165	39.00318	-107.02682
CB167	39.00448	-107.02795
CB168	39.00415	-107.02920
CB169	39.00543	-107.02993
CB170	39.00548	-107.03448
CB177	38.99737	-107.02218
CB182	39.00495	-107.01783
CB189	38.99412	-107.02988
CB283	38.95143	-106.99107
CB322	38.95917	-106.98428
CB323	38.95915	-106.98408
CB324	38.95963	-106.98280
CB326	38.96025	-106.98088
CB327	38.96058	-106.98048
CB328	38.96082	-106.98028
CB329	38.96113	-106.98002
CB333	38.96202	-106.98117
CB335	38.96122	-106.98202
CB336	38.96143	-106.98257
CB337	38.96177	-106.98518
CB338	38.96278	-106.98497
CB339	38.96375	-106.98555
CB340	38.96353	-106.98818
CB341	38.96342	-106.98842
CB342	38.96310	-106.98790
CB345	38.96367	-106.99100
CB347	38.96270	-106.99005
CB350	38.96152	-106.98945
CB351	38.96165	-106.98877
CB352	38.96198	-106.98827
CB353	38.96192	-106.98757
CB355	38.95978	-106.99102
CB357	38.96123	-106.99393
CB358	38.96090	-106.99260
CB359	38.95925	-106.99083
CB361	38.96138	-106.99190
CB362	38.96203	-106.99265
CB363	38.96373	-106.99308
CB364	38.96422	-106.99305
CB367	38.96697	-106.99535
CB369	38.96832	-106.99450
CB370	38.96957	-106.99577
CB371	38.97047	-106.99668
CB373	38.97250	-106.99720
CB374	38.97252	-106.99668
CB375	38.96982	-106.99548
CB376	38.96022	-106.98310
CB377	38.96050	-106.98418
CB381	38.96577	-106.98890
CB382	38.96627	-106.99060
CB383	38.96732	-106.99087
CB385	38.97397	-106.99240
CB388	38.98058	-106.99420
CB391	38.98670	-107.00162
CB392	38.98817	-107.00288
CB394	38.98813	-107.00643
CB399	38.98710	-107.00725
CB401	38.98657	-107.00647
CB405	38.98560	-107.00563
CB406	38.98535	-107.00463
CB407	38.98442	-107.00342
CB408	38.98397	-107.00357
CB410	38.97995	-107.00022
CB412	38.97728	-106.99977
CB414	38.97525	-106.99837
CB416	38.97498	-106.99652
CB417	38.97443	-106.99632
CB418	38.97322	-106.99620
CB475	38.90270	-107.01103
CB477	38.90610	-107.02152
CB478	38.90888	-107.02482
CB479	38.92348	-107.03972
CB480	38.93335	-107.05157
RP290	39.00767	-106.99885
RP295	38.99812	-106.98120
RP296	38.96992	-107.02673
